05-16 13:34:13.223|User839|192.204.49.133|E|H|Greska u programu|0
05-16 13:34:13.223|User401|190.69.65.89|S|H|Neuspesna prijava|1
05-16 13:34:13.223|User727|22.99.125.254|S|H|Neuspesna prijava|2
05-16 13:34:13.225|User727|22.99.125.254|S|H|Neuspesna prijava|0
05-16 13:34:13.226|User401|238.222.16.58|S|H|Neuspesna prijava|0
05-16 13:34:13.228|User401|206.190.66.118|S|H|Neuspesna prijava|0
05-16 13:34:13.228|User727|22.99.125.254|S|H|Neuspesna prijava|2
05-16 13:34:13.229|User727|22.99.125.254|S|H|Neuspesna prijava|2
05-16 13:34:13.230|User727|22.99.125.254|S|H|Neuspesna prijava|0
05-16 13:34:13.231|User401|3.110.40.20|S|H|Neuspesna prijava|1
05-16 13:34:13.232|User829|52.231.112.4|E|H|Greska u programu|1
05-16 13:34:13.232|User401|241.191.207.185|S|H|Neuspesna prijava|0
05-16 13:34:13.233|User727|22.99.125.254|S|H|Neuspesna prijava|1
05-16 13:34:13.235|User401|128.39.23.102|S|H|Neuspesna prijava|0
05-16 13:34:13.235|User727|22.99.125.254|S|H|Neuspesna prijava|2
05-16 13:34:13.236|User727|22.99.125.254|S|H|Neuspesna prijava|0
05-16 13:34:13.237|User727|22.99.125.254|S|H|Neuspesna prijava|1
05-16 13:34:13.237|User401|3.54.181.238|S|H|Neuspesna prijava|0
05-16 13:34:13.239|User741|67.56.205.188|E|H|Greska u programu|0
05-16 13:34:13.240|User727|22.99.125.254|S|H|Neuspesna prijava|0
05-16 13:34:13.240|User401|27.157.7.204|S|H|Neuspesna prijava|1
05-16 13:34:13.241|User401|47.28.93.135|S|H|Neuspesna prijava|2
05-16 13:34:13.243|User727|22.99.125.254|S|H|Neuspesna prijava|0
05-16 13:34:13.244|User401|162.55.198.18|S|H|Neuspesna prijava|1
05-16 13:34:13.245|User401|26.133.160.0|S|H|Neuspesna prijava|1
05-16 13:34:13.246|User727|22.99.125.254|S|H|Neuspesna prijava|0
05-16 13:34:13.247|User401|129.200.233.22|S|H|Neuspesna prijava|2
05-16 13:34:13.247|User727|22.99.125.254|S|H|Neuspesna prijava|1
05-16 13:34:13.248|User727|22.99.125.254|S|H|Neuspesna prijava|0
05-16 13:34:13.249|User401|235.140.1.216|S|H|Neuspesna prijava|2
05-16 13:34:13.250|User727|22.99.125.254|S|H|Neuspesna prijava|2
05-16 13:34:13.250|User401|212.125.13.231|S|H|Neuspesna prijava|2
05-16 13:34:13.251|User401|219.224.208.4|S|H|Neuspesna prijava|2
05-16 13:34:13.252|User727|22.99.125.254|S|H|Neuspesna prijava|1
05-16 13:34:13.254|User727|22.99.125.254|S|H|Neuspesna prijava|1
05-16 13:34:13.257|User727|22.99.125.254|S|H|Neuspesna prijava|2
05-16 13:34:13.260|User727|22.99.125.254|S|H|Neuspesna prijava|0
05-16 13:34:13.262|User727|22.99.125.254|S|H|Neuspesna prijava|2
